"country","stars","pwc_1980_2019"
"Afghanistan",1,4.6
"Albania",3,58.5
"Algeria",1,2.3
"American Samoa",3,39.2
"Andorra",1,9.3
"Angola",1,0.4
"Antigua and Barbuda",4,73.3
"Argentina",4,71.4
"Armenia",5,85.6
"Australia",5,92.8
"Austria",5,92.8
"Azerbaijan",3,55.3
"Bahrain",3,44.8
"Bangladesh",2,16.9
"Barbados",4,78.1
"Belarus",4,83.3
"Belgium",4,83.9
"Belize",4,73.1
"Benin",1,0.3
"Bermuda",5,91.6
"Bhutan",0,0
"Venezuela",5,85.2
"Bosnia and Herzegovina",2,29.6
"Botswana",0,0
"Brazil",4,66.6
"Brunei",3,43.3
"Bulgaria",4,75.8
"Burkina Faso",1,2.5
"Burundi",1,0.4
"Cambodia",1,0.7
"Cameroon",0,0
"Canada",5,90.2
"Central African Republic",0,0
"Chad",0,0
"Chile",4,84.5
"China",3,50.8
"Colombia",4,82.1
"The Bahamas",4,81.3
"Comoros",0,0
"Congo (Brazzaville)",0,0
"Cook Islands",2,26.1
"Costa Rica",5,87.9
"Croatia",4,75.4
"Cuba",5,89.4
"Cyprus",2,34.4
"Czech Republic",4,75.5
"North Korea",0,0
"DR Congo",1,0.6
"Denmark",5,85.6
"Djibouti",0,0
"Dominica",3,62.9
"Dominican Republic",3,44.5
"Ecuador",3,62.9
"Egypt",2,30.8
"El Salvador",3,53.4
"Equatorial Guinea",0,0
"Eritrea",0,0
"Estonia",5,92.2
"Ethiopia",1,2.6
"Federated States of Micronesia",0,0
"Fiji",2,30.3
"Finland",5,92.2
"France",4,81.1
"Gabon",0,0
"Georgia",4,67.1
"Germany",4,84.7
"Ghana",1,4.9
"Greece",4,81.6
"Greenland",3,49.3
"Grenada",4,73.4
"Guam",3,52.4
"Guatemala",4,70.5
"Guinea",1,0.5
"Guinea-Bissau",1,0.4
"Guyana",4,66.8
"Haiti",1,5.2
"Honduras",2,20.4
"Hungary",5,92.1
"Iceland",5,93.5
"India",2,16.7
"Indonesia",2,17.4
"Iraq",2,12.2
"Ireland",5,92.2
"Iran",2,29.1
"Israel",4,82.3
"Italy",5,89.7
"Jamaica",4,67.7
"Japan",5,85.4
"Jordan",2,31.3
"Kazakhstan",4,80.9
"Kenya",1,5.5
"Kiribati",2,17.6
"Kuwait",4,71.7
"Kyrgyzstan",4,84.2
"Laos",1,0.5
"Latvia",5,91.1
"Lebanon",1,0.6
"Lesotho",0,0
"Liberia",1,1.8
"Libya",1,1.6
"Lithuania",5,92.8
"Luxembourg",4,84.7
"Madagascar",1,1.4
"Malawi",1,1.7
"Malaysia",2,27.5
"Maldives",2,22.1
"Mali",1,1.2
"Malta",5,90.2
"Marshall Islands",0,0
"Mauritania",0,0
"Mauritius",4,79.9
"Mexico",4,77.1
"Mongolia",2,25.6
"Montenegro",2,17.8
"Morocco",2,11
"Mozambique",2,11.7
"Myanmar",1,7.4
"Namibia",0,0
"Nepal",1,3.6
"Netherlands",5,86
"New Zealand",5,96
"Nicaragua",3,54.1
"Niger",1,6.1
"Nigeria",1,6.4
"Northern Mariana Islands",2,34.2
"Norway",5,89.2
"Oman",2,13.7
"Pakistan",2,13.2
"Palestine",2,23.8
"Panama",4,70.3
"Papua New Guinea",1,5.6
"Paraguay",3,63.2
"Peru",3,47.1
"Philippines",3,37.8
"Bolivia",1,1.8
"Poland",4,70.6
"Portugal",4,79.8
"Monaco",2,22.4
"Puerto Rico",4,82.2
"Qatar",2,30
"Cape Verde",2,17
"South Korea",3,64.3
"Moldova",5,87.8
"Nauru",0,0
"Niue",0,0
"Palau",1,7.3
"San Marino",3,42.3
"The Gambia",1,2.6
"Romania",4,84
"Russia",5,88.7
"Rwanda",1,4
"Saint Kitts and Nevis",4,73
"Saint Lucia",4,74.9
"Saint Vincent and the Grenadines",4,75.8
"Samoa",0,0
"Saudi Arabia",2,11.8
"Senegal",1,1.9
"Serbia",3,45.5
"Seychelles",3,54
"Sierra Leone",1,0.6
"Singapore",5,92.2
"Slovakia",3,61.9
"Slovenia",4,73
"Vietnam",2,10.3
"Solomon Islands",1,5.4
"Somalia",0,0
"South Africa",3,39.2
"South Sudan",0,0
"Spain",4,84.8
"Sri Lanka",3,54
"Sudan",0,0
"Suriname",3,63.1
"Sweden",5,88.8
"Switzerland",4,82.3
"Syria",3,38.6
"Taiwan (province of China)",4,81.8
"Tajikistan",3,57
"Thailand",3,45.4
"North Macedonia",3,52.7
"Timor-Leste",0,0
"Togo",0,0
"Tokelau",0,0
"Tonga",1,7.6
"Trinidad and Tobago",5,86.6
"Tunisia",1,7.5
"Turkey",3,38.4
"Turkmenistan",4,84.1
"Tuvalu",0,0
"Uganda",1,0.5
"Ukraine",5,86.7
"United Arab Emirates",1,5.1
"UK",5,92.5
"Northern Ireland",5,93.5
"Scotland",5,93.3
"Wales",5,92.7
"England",5,92.5
"Tanzania",1,2.7
"Virgin Islands",3,62.6
"USA",5,89
"Uruguay",4,79.6
"Uzbekistan",4,74.6
"Vanuatu",0,0
"Yemen",0,0
"Zambia",1,3.1
"Zimbabwe",2,20.3
